Name,Et_eV,Sn_cm2,Sp_cm2,k,logSn,logSp,logk,bandgap,actual,predicted
D-0848,-0.28297118694328893,2.0715822871841067e-13,5.685587042545473e-15,36.43567975799815,-12.68369781102115,-14.245224687321752,1.5615268763006027,0,-0.28297118694328893,-0.22337822576271663
D-3166,-0.18696744836782764,2.0819357721805138e-13,7.050841527887402e-15,29.527479293727804,-12.68153267262464,-14.151759046255798,1.470226373631158,0,-0.18696744836782764,-0.11503882736724627
D-6382,-0.03078240287322631,8.642133874223846e-15,2.3474354851165994e-13,0.0368152135767624,-14.063379010370731,-12.62940633467117,-1.4339726756995619,0,-0.03078240287322631,-0.06008213356487538
D-4115,-0.11475397767047724,8.028378798112897e-14,4.225906572978144e-14,1.8998003527690435,-13.095372144648785,-13.374080108629792,0.27870796398100844,0,-0.11475397767047724,-0.05766904385151175
D-3536,-0.35244831219576434,2.3089228565478805e-13,6.4107792820453354e-15,36.01625878798353,-12.636590577059112,-14.19308917526724,1.5564985982081287,0,-0.35244831219576434,-0.33976251557005743
D-7234,-0.28476662072381287,1.733812690403801e-13,2.7787723229685313e-14,6.239491721119449,-12.760997822614135,-13.556147035420938,0.7951492128068034,0,-0.28476662072381287,-0.2312861474187662
D-3718,-0.27680422094424295,4.0968065371381623e-13,1.2066759486242981e-14,33.95117423040404,-12.387554544183823,-13.918409343506267,1.5308547993224446,0,-0.27680422094424295,-0.2078026440322909
D-4227,-0.5350490972412363,9.234527105712206e-13,2.4646291411389027e-13,3.7468221695394464,-12.03458533959983,-12.60824842083869,0.5736630812388593,0,-0.5350490972412363,-0.44314937566234325
D-6279,-0.25596170044220606,1.3430117494895362e-15,6.495926578353101e-13,0.0020674675633880505,-14.87192018784048,-12.187358892448579,-2.684561295391903,0,-0.25596170044220606,-0.26551631926866315
D-7919,-0.4846254227728935,1.2432744675831195e-13,9.49589495362454e-14,1.3092757171966896,-12.905432985116633,-13.022464098319844,0.1170311132032128,0,-0.4846254227728935,-0.48020777477569454
