Name,Et_eV,Sn_cm2,Sp_cm2,k,logSn,logSp,logk,bandgap,actual,predicted,predicted_proba
D-3840,0.22992968011252501,9.529348835473098e-13,9.792912364149227e-15,97.3086297632867,-12.020936774789034,-14.009088131936958,1.9881513571479226,1,1,0,0.9999999999999998
D-0293,-0.5150223408857968,7.405296725933668e-13,1.5992278746447457e-15,463.0545054486803,-12.130457534866771,-14.796089649043207,2.665632114176436,0,0,1,0.9999999999999998
D-4191,-0.5495619201324383,3.313463176138613e-13,2.9568607327676575e-14,11.206017041719686,-12.479717851536945,-13.52916913012889,1.0494512785919452,0,0,0,0.9999999999999998
D-5770,-0.4298112105010059,6.149372784795519e-13,4.163765962650364e-13,1.4768776247167492,-12.211169178532476,-12.38051368934065,0.1693445108081753,0,0,1,0.9999999999999998
D-4144,0.28704427955536016,8.261844346930056e-15,6.828544423507015e-13,0.012098983084138632,-14.08292299138632,-12.165671860917108,-1.9172511304692132,1,1,1,0.9999999999999998
D-5486,0.3176860041151961,1.2703272481736033e-14,9.895170065415332e-15,1.2837851596038068,-13.896084386312982,-14.004576737300258,0.10849235098727757,1,1,0,0.9999999999999998
D-4281,0.5254502814071333,1.0409098083403859e-14,1.933406394876306e-13,0.05383812793310743,-13.982586899151332,-12.713676849281509,-1.2689100498698225,1,1,1,0.9999999999999998
D-5593,-0.20363108410892933,4.922127093809542e-13,2.5876498236383994e-13,1.9021612000377701,-12.307847176608927,-12.58709449537244,0.27924731876351433,0,0,0,0.9999999999999998
D-1449,-0.2518616587671137,2.9491354814715635e-13,1.0112441714272221e-13,2.9163436139357852,-12.53030527576832,-12.995143968543369,0.4648386927750485,0,0,1,0.9999999999999998
D-5092,0.2214535406086685,1.9269883919348447e-14,1.9902616105498936e-14,0.968208592137007,-13.715120901501177,-13.701089833866297,-0.014031067634880596,1,1,1,0.9999999999999998
D-4157,0.17847696827178694,2.01147146361647e-15,4.563336100231568e-13,0.004407896809341739,-14.696486124306645,-12.340717543258805,-2.3557685810478395,1,1,1,0.9999999999999998
D-3229,-0.28179076510743906,8.764959908002151e-14,7.94506669433422e-14,1.1031952587953242,-13.057250066081682,-13.099902452785141,0.04265238670345966,0,0,0,0.9999999999999998
D-0938,0.09736460645397005,6.1226920694340685e-15,1.2475302950142198e-14,0.49078504096481923,-14.213057582130242,-13.903948899173308,-0.3091086829569335,1,1,1,0.9999999999999998
D-7992,0.343849085708132,3.520665477644865e-14,2.960497339740591e-14,1.1892142007306643,-13.45337523823989,-13.528635324832445,0.07526008659255679,1,1,0,0.9999999999999998
D-3162,0.08169113395425853,1.1044186506105162e-15,8.22035917445556e-13,0.0013435162955439384,-14.956866267924807,-12.085109206294957,-2.8717570616298502,1,1,1,0.9999999999999998
D-1162,0.3053943051173452,6.446751470444769e-15,1.5126396551238093e-14,0.42619215016659756,-14.190659072009293,-13.820264518394689,-0.37039455361460427,1,1,0,0.9999999999999998
D-0769,-0.05702647584712134,4.191404593959525e-13,1.2531656601536647e-13,3.344653246758748,-12.377640414937327,-12.901991514372925,0.5243510994355995,0,0,0,0.9999999999999998
D-5626,-0.39901874057426945,6.68646809755726e-14,2.8568730113807066e-15,23.404848836195686,-13.174803223156248,-14.544109063671275,1.3693058405150276,0,0,0,0.9999999999999998
D-3042,0.12702155201735355,2.154404999396151e-13,7.209112083138554e-13,0.2988447085508776,-12.666672651795004,-12.142118222262512,-0.5245544295324914,1,1,0,0.9999999999999998
D-2230,-0.3505314002469645,1.0138655453490732e-14,1.89342279124985e-14,0.5354670652716816,-13.994019635520145,-13.722752399557042,-0.27126723596310237,0,0,1,0.9999999999999998
D-2275,0.3227609687381594,1.7821616297705048e-14,9.028873142319252e-15,1.973847236170958,-13.74905291099822,-14.044366448868184,0.29531353786996445,1,1,1,0.9999999999999998
D-3779,0.2337238996333666,1.0749857352624051e-13,4.1782018694192146e-14,2.572842980925266,-12.968597298667378,-13.379010580952912,0.4104132822855341,1,1,0,0.9999999999999998
D-5602,0.024244184732864604,7.266942323181948e-14,2.050501074277138e-14,3.5439836703054444,-13.138648286734387,-13.6881399988454,0.5494917121110133,1,1,0,0.9999999999999998
D-7204,-0.004829397585692119,1.2627607180241255e-14,2.1356432595198368e-13,0.05912788628883814,-13.898678936607748,-12.670471290670246,-1.2282076459375026,0,0,1,0.9999999999999998
D-4783,-0.12810613637236595,3.5898883117252085e-14,5.830418742002366e-13,0.061571706434456155,-13.444919062941452,-12.234300252992222,-1.21061880994923,0,0,1,0.9999999999999998
D-1807,0.5489857478121958,1.9829755009757757e-14,8.883817130243397e-13,0.022321210262479216,-13.702682651330127,-12.051400389806544,-1.651282261523583,1,1,0,0.9999999999999998
D-1023,-0.17426524294930568,7.349651003593935e-13,8.393698896308767e-13,0.8756152793169689,-12.13373328279497,-12.076046614111549,-0.05768666868342242,0,0,0,0.9999999999999998
D-3160,0.4915405468537217,1.4560982177277922e-13,2.15391456078554e-13,0.6760241303149686,-12.836809329708036,-12.666771527832514,-0.17003780187552048,1,1,0,0.9999999999999998
D-3031,0.36235768502972243,4.06740436096289e-13,2.476491077262893e-13,1.6424062248018805,-12.39068265006766,-12.60616323243116,0.2154805823635003,1,1,0,0.9999999999999998
D-7188,-0.3425273337113984,7.494775751424651e-13,1.9421225217669074e-13,3.859064331639613,-12.125241356995264,-12.711723375432745,0.5864820184374812,0,0,1,0.9999999999999998
D-7144,-0.542806619690994,4.1070311873023777e-13,7.740732044647823e-15,53.05740030288355,-12.38647199925935,-14.111217965942751,1.7247459666834015,0,0,1,0.9999999999999998
D-5068,0.10322423040215156,8.388601883586346e-13,2.226088284653213e-15,376.83150041343254,-12.076310416387129,-14.652457615932388,2.5761471995452596,1,1,1,0.9999999999999998
D-3641,-0.2567214383416391,1.952687148561484e-14,2.6051773005965413e-15,7.495409806136234,-13.709367331999937,-14.584162714571582,0.8747953825716442,0,0,0,0.9999999999999998
D-0681,0.09062842445785058,1.6460486705950441e-15,1.127081078047135e-14,0.14604527594830277,-14.783557327654515,-13.948044841290235,-0.8355124863642793,1,1,1,0.9999999999999998
D-0235,0.16815817323183657,5.139441655452876e-13,1.7481531646322695e-14,29.39926408870459,-12.289084059823221,-13.75742051927569,1.4683364594524697,1,1,1,0.9999999999999998
D-4116,-0.1282459251174411,3.879352778535679e-15,1.319715137953964e-14,0.2939537985864192,-14.411240724961708,-13.87951980164691,-0.5317209233147981,0,0,0,0.9999999999999998
D-2514,0.030511298388290142,3.049757576749575e-14,6.471827659430156e-13,0.04712359069552396,-13.51573468106773,-12.188973056221965,-1.326761624845766,1,1,0,0.9999999999999998
D-3740,-0.14151800319670377,7.191183269077807e-14,2.819623575375529e-15,25.504054271216173,-13.143199643003745,-14.549808866875372,1.4066092238716266,0,0,0,0.9999999999999998
D-6651,-0.3855879508289267,8.022938455755783e-15,9.331332140521929e-15,0.8597848983336088,-14.095666539273035,-14.030056351968446,-0.0656101873045897,0,0,0,0.9999999999999998
